"filename", "language", "TypeScript", "Prisma", "JSON", "TypeScript JSX", "PostCSS", "JavaScript", "JSON with Comments", "XML", "Markdown", "comment", "blank", "total"
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/ConstantsTable.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/EmployeeTasksTable.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 4, 72
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/EmployeeWithdrawalsTable.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/ExpensesTable.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/SalonsTable.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/ServicesTable.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/components/tables/UsersTable.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 3, 90
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/constants/data.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/constants/page.tsx", "TypeScript JSX", 0, 0, 0, 165, 0, 0, 0, 0, 0, 9, 21, 195
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/constants/types.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 154, 0, 0, 0, 0, 0, 10, 18, 182
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/reports/employee-income/page.tsx", "TypeScript JSX", 0, 0, 0, 333, 0, 0, 0, 0, 0, 10, 32, 375
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/reports/monthly/page.tsx", "TypeScript JSX", 0, 0, 0, 365, 0, 0, 0, 0, 0, 12, 31, 408
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/types/index.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/users/model/roles.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/users/model/salons.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/users/model/users.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/users/page.tsx", "TypeScript JSX", 0, 0, 0, 353, 0, 0, 0, 0, 0, 12, 31, 396
"/home/salem/my-projects/mforu_app/src/app/admin/dashboard/users/types.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/home/salem/my-projects/mforu_app/src/app/admin/layout.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 6, 38
"/home/salem/my-projects/mforu_app/src/app/admin/loading.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/salem/my-projects/mforu_app/src/app/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 3, 5, 112
